feature,mean_importance
chol,-0.00838258497576192
fbs,-0.0015648475466346623
restecg,-0.0007711822300507265
age,-0.0005366084934514959
dataset,0.0
exang,0.002657275344179477
slope,0.003016954995968368
thalch,0.005430303929040181
sex,0.006028021764202385
trestbps,0.006536329934102469
thal,0.008334786780686465
oldpeak,0.03566808792036098
ca,0.045121834896564315
cp,0.055835200617463346
id,0.6825520609788343
